name,phone,jobRole,location,salary,managerId,role
Employee0,612-010000,LDP Participant,CA,74981,15,HR
Employee1,612-010001,HR,TX,80000,0,employee
Employee2,612-010002,HR,TX,80000,9,employee
Employee3,612-010003,Manager,CA,90000,1,employee
Employee4,612-010004,Admin,CA,67101,19,employee
Employee5,612-010005,LDP Participant,CT,67763,1,employee
Employee6,612-010006,Admin,MN,72757,10,employee
Employee7,612-010007,LDP Participant,CT,71738,20,employee
Employee8,612-010008,LDP Participant,TX,65983,14,employee
Employee9,612-010009,HR,NY,80000,18,employee
Employee10,612-010010,Support,NY,68921,13,manager
Employee11,612-010011,LDP Participant,NY,65820,2,employee
Employee12,612-010012,Admin,MN,70743,20,employee
Employee13,612-010013,Admin,MN,71388,3,employee
Employee14,612-010014,Support,MN,69015,19,employee
Employee15,612-010015,Manager,TX,90000,2,employee
Employee16,612-010016,Admin,CT,66138,12,employee
Employee17,612-010017,HR,NY,80000,8,employee
Employee18,612-010018,Manager,CA,90000,18,employee
Employee19,612-010019,Admin,CT,72239,5,employee
Employee20,612-010020,Support,NY,68867,1,manager
Employee21,612-010021,Manager,MN,90000,14,employee
Employee22,612-010022,Admin,CA,65343,2,employee
Employee23,612-010023,Support,MN,66683,2,employee
Employee24,612-010024,Manager,TX,90000,9,employee
Employee25,612-010025,LDP Participant,NY,66980,3,employee
Employee26,612-010026,LDP Participant,TX,66774,4,employee
Employee27,612-010027,HR,TX,80000,13,employee
Employee28,612-010028,Support,NY,71541,7,employee
Employee29,612-010029,LDP Participant,MN,73590,6,employee
Employee30,612-010030,HR,CT,80000,5,manager
Employee31,612-010031,HR,CA,80000,8,employee
Employee32,612-010032,HR,MN,80000,7,employee
Employee33,612-010033,HR,CT,80000,2,employee
Employee34,612-010034,HR,TX,80000,19,employee
Employee35,612-010035,Manager,CA,90000,2,employee
Employee36,612-010036,Manager,CT,90000,7,employee
Employee37,612-010037,Admin,CT,73096,2,employee
Employee38,612-010038,Manager,CT,90000,3,employee
Employee39,612-010039,Support,CA,70131,0,employee
Employee40,612-010040,HR,CT,80000,11,manager
Employee41,612-010041,HR,MN,80000,2,employee
Employee42,612-010042,Manager,MN,90000,16,employee
Employee43,612-010043,Support,CT,73411,4,employee
Employee44,612-010044,Admin,NY,71000,20,employee
Employee45,612-010045,Manager,TX,90000,18,employee
Employee46,612-010046,HR,NY,80000,4,employee
